MONTH,AGE,ACTIVITY,LANDUSE,BITE_STATUS
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,20,1
April,2,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,62,1
April,2,1,61,1
April,2,1,60,1
April,1,3,60,1
April,2,1,60,1
April,2,7,62,1
April,1,1,60,1
April,2,5,60,1
April,2,5,62,1
April,2,1,60,1
April,2,1,60,1
April,1,3,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,3,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,60,1
April,2,7,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,3,20,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,3,1,60,1
April,1,7,60,1
April,1,1,60,1
April,2,5,60,1
April,2,1,60,1
April,2,3,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,62,1
April,2,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,7,60,1
